detailed_ethnicity,Group,group
Asian Indian,detailed ethnicity (AAPI alone or in combo),AA
Bangladeshi,detailed ethnicity (AAPI alone or in combo),AA
Bhutanese,detailed ethnicity (AAPI alone or in combo),AA
Burmese,detailed ethnicity (AAPI alone or in combo),AA
Cambodian,detailed ethnicity (AAPI alone or in combo),AA
"Chinese, except Taiwanese",detailed ethnicity (AAPI alone or in combo),AA
Filipino,detailed ethnicity (AAPI alone or in combo),AA
Hmong,detailed ethnicity (AAPI alone or in combo),AA
Indonesian,detailed ethnicity (AAPI alone or in combo),AA
Japanese,detailed ethnicity (AAPI alone or in combo),AA
Korean,detailed ethnicity (AAPI alone or in combo),AA
Laotian,detailed ethnicity (AAPI alone or in combo),AA
Malaysian,detailed ethnicity (AAPI alone or in combo),AA
Mongolian,detailed ethnicity (AAPI alone or in combo),AA
Nepalese,detailed ethnicity (AAPI alone or in combo),AA
Okinawan,detailed ethnicity (AAPI alone or in combo),AA
Pakistani,detailed ethnicity (AAPI alone or in combo),AA
Sri Lankan,detailed ethnicity (AAPI alone or in combo),AA
Taiwanese,detailed ethnicity (AAPI alone or in combo),AA
Thai,detailed ethnicity (AAPI alone or in combo),AA
Vietnamese,detailed ethnicity (AAPI alone or in combo),AA
Other Asian,detailed ethnicity (AAPI alone or in combo),AA
Native Hawaiian,detailed ethnicity (AAPI alone or in combo),NHPI
Samoan,detailed ethnicity (AAPI alone or in combo),NHPI
Tongan,detailed ethnicity (AAPI alone or in combo),NHPI
Polynesian,detailed ethnicity (AAPI alone or in combo),NHPI
Guamanian or Chamorro,detailed ethnicity (AAPI alone or in combo),NHPI
Marshallese,detailed ethnicity (AAPI alone or in combo),NHPI
Micronesian,detailed ethnicity (AAPI alone or in combo),NHPI
Fijian,detailed ethnicity (AAPI alone or in combo),NHPI
Melanesian,detailed ethnicity (AAPI alone or in combo),NHPI
Asian Indian,detailed ethnicity (AAPI alone),AA
Bangladeshi,detailed ethnicity (AAPI alone),AA
Bhutanese,detailed ethnicity (AAPI alone),AA
Burmese,detailed ethnicity (AAPI alone),AA
Cambodian,detailed ethnicity (AAPI alone),AA
"Chinese, except Taiwanese",detailed ethnicity (AAPI alone),AA
Filipino,detailed ethnicity (AAPI alone),AA
Hmong,detailed ethnicity (AAPI alone),AA
Indonesian,detailed ethnicity (AAPI alone),AA
Japanese,detailed ethnicity (AAPI alone),AA
Korean,detailed ethnicity (AAPI alone),AA
Laotian,detailed ethnicity (AAPI alone),AA
Malaysian,detailed ethnicity (AAPI alone),AA
Mongolian,detailed ethnicity (AAPI alone),AA
Nepalese,detailed ethnicity (AAPI alone),AA
Okinawan,detailed ethnicity (AAPI alone),AA
Pakistani,detailed ethnicity (AAPI alone),AA
Sri Lankan,detailed ethnicity (AAPI alone),AA
Taiwanese,detailed ethnicity (AAPI alone),AA
Thai,detailed ethnicity (AAPI alone),AA
Vietnamese,detailed ethnicity (AAPI alone),AA
Other Asian,detailed ethnicity (AAPI alone),AA
Native Hawaiian,detailed ethnicity (AAPI alone),NHPI
Samoan,detailed ethnicity (AAPI alone),NHPI
Tongan,detailed ethnicity (AAPI alone),NHPI
Polynesian,detailed ethnicity (AAPI alone),NHPI
Guamanian or Chamorro,detailed ethnicity (AAPI alone),NHPI
Marshallese,detailed ethnicity (AAPI alone),NHPI
Micronesian,detailed ethnicity (AAPI alone),NHPI
Fijian,detailed ethnicity (AAPI alone),NHPI
Melanesian,detailed ethnicity (AAPI alone),NHPI